house_address,house_region,house_area,house_id,total_price,unit_price,house_layout,house_floor,house_rental_area,house_structure,house_inner_area,house_building_type,house_orientation,house_building_structure,house_decoration,house_elevator_sytle,house_elevator,house_listing_time,house_transaction_type,house_last_time,house_useage,house_years,house_property,house_mortgage_info,house_book,house_fx_id,house_longitude,house_latitude,city
盛大德馨府,包河,骆岗,103116123049,130,16532元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共14层),建筑面积78.64㎡,户型结构平层,套内面积65.14㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯四户,供暖方式暂无数据,2021-07-15,商品房,2020-12-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.304304,31.800919,合肥
珠光花苑,包河,周谷堆,103116813847,139,15045元/平米,房屋户型2室2厅1厨2卫,所在楼层低楼层 (共32层),建筑面积92.39㎡,户型结构平层,套内面积71.33㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例四梯十三户,供暖方式暂无数据,2021-08-25,商品房,2015-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30988338876,31.833457375063,合肥
绿地海顿公馆B,包河,周谷堆,103116827982,200,23365元/平米,房屋户型2室1厅1厨1卫,所在楼层高楼层 (共18层),建筑面积85.6㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-08-25,商品房,2010-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31123465523,31.836587783457,合肥
地矿家园,包河,周谷堆,103116738710,178,18391元/平米,房屋户型2室2厅1厨1卫,所在楼层低楼层 (共34层),建筑面积96.79㎡,户型结构平层,套内面积79.28㎡,建筑类型塔楼,房屋朝向南 西,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-08-20,商品房,2014-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31382881441,31.830796275817,合肥
绿地海顿公馆C,包河,周谷堆,103116440403,75,15972元/平米,房屋户型1室1厅1厨1卫,所在楼层低楼层 (共33层),建筑面积46.96㎡,户型结构平层,套内面积46.95㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯一户,供暖方式暂无数据,2021-08-04,商品房,2012-06-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31169795412,31.835278901027,合肥
和地蓝湾,包河,周谷堆,103116664486,200,21506元/平米,房屋户型3室2厅1厨1卫,所在楼层低楼层 (共14层),建筑面积93㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况毛坯,梯户比例两梯两户,供暖方式暂无数据,2021-08-16,商品房,2015-08-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31133783429,31.829086319401,合肥
力高柏林春天,包河,包公,103115549721,160,14651元/平米,房屋户型3室2厅1厨1卫,所在楼层低楼层 (共30层),建筑面积109.21㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-06-13,商品房,2009-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30627266904,31.832280103264,合肥
绿地海顿公馆D,包河,周谷堆,103112831293,122,14536元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共18层),建筑面积83.93㎡,户型结构复式,套内面积暂无数据,建筑类型板楼,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例三梯十二户,供暖方式暂无数据,2020-12-28,商品房,2011-12-21,普通住宅,满五年,共有,无抵押,已上传房本照片,,117.316615,31.836755,合肥
金地国际城,包河,周谷堆,103114804867,248,15722元/平米,房屋户型4室2厅1厨2卫,所在楼层中楼层 (共32层),建筑面积157.75㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-05-02,商品房,2016-08-19,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,,117.30942620912,31.843043637141,合肥
和地蓝湾,包河,周谷堆,103115562248,204,23683元/平米,房屋户型2室2厅1厨1卫,所在楼层高楼层 (共18层),建筑面积86.14㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构砖混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-06-14,商品房,2010-08-17,普通住宅,满五年,共有,有抵押 109万元,已上传房本照片,,117.31133783429,31.829086319401,合肥
铂金汉宫,包河,包公,103115839703,85,16743元/平米,房屋户型3室1厅1厨2卫,所在楼层高楼层 (共24层),建筑面积50.77㎡,户型结构复式,套内面积暂无数据,建筑类型板塔结合,房屋朝向东,建筑结构钢混结构,装修情况精装,梯户比例三梯十八户,供暖方式暂无数据,2021-06-30,商品房,2016-08-23,普通住宅,满五年,非共有,有抵押 18万元,已上传房本照片,,117.30737200295,31.830799656404,合肥
力高柏林春天,包河,包公,103116581040,155,16734元/平米,房屋户型2室1厅1厨1卫,所在楼层高楼层 (共30层),建筑面积92.63㎡,户型结构平层,套内面积74.43㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况其他,梯户比例两梯四户,供暖方式暂无数据,2021-08-12,商品房,2021-08-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,,117.30627266904,31.832280103264,合肥
星海城,包河,包公,103109255895,56.9,14915元/平米,房屋户型1室1厅1厨1卫,所在楼层低楼层 (共32层),建筑面积38.15㎡,户型结构平层,套内面积25.86㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯十七户,供暖方式暂无数据,2020-05-20,商品房,2019-11-27,普通住宅,未满两年,非共有,有抵押 10万元 公积金徽商银行10万左右，还有3-4年,已上传房本照片,,117.30759389867,31.82747532462,合肥
和地蓝湾,包河,周谷堆,103116871839,250,22272元/平米,房屋户型4室2厅1厨2卫,所在楼层中楼层 (共18层),建筑面积112.25㎡,户型结构复式,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-08-28,商品房,2014-04-29,普通住宅,满五年,共有,有抵押 130万元 建设银行 客户偿还,已上传房本照片,,117.31133783429,31.829086319401,合肥
力高柏林春天,包河,包公,103116827640,280,17853元/平米,房屋户型4室2厅1厨2卫,所在楼层高楼层 (共18层),建筑面积156.84㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-08-25,商品房,2016-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30627266904,31.832280103264,合肥
华盛格林丽景,包河,工业园,103116815610,162,18113元/平米,房屋户型3室1厅1厨1卫,所在楼层低楼层 (共22层),建筑面积89.44㎡,户型结构平层,套内面积89.44㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯四户,供暖方式暂无数据,2021-08-25,商品房,2021-05-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.33961388637,31.799629214197,合肥
和昌都汇华府,包河,周谷堆,103115945563,218,22676元/平米,房屋户型3室2厅1厨1卫,所在楼层中楼层 (共32层),建筑面积96.14㎡,户型结构平层,套内面积76.26㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-07-05,商品房,2016-01-06,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,,117.31597861501,31.82962039135,合肥
骆苑小区,包河,望湖,103116082600,89,11995元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共6层),建筑面积74.2㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南 北,建筑结构钢混结构,装修情况简装,梯户比例一梯两户,供暖方式暂无数据,2021-07-13,商品房,1999-07-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30399007159,31.82689227831,合肥
琥珀新天地西苑,包河,常青,103116304379,230,22852元/平米,房屋户型3室2厅1厨1卫,所在楼层中楼层 (共11层),建筑面积100.65㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例一梯两户,供暖方式暂无数据,2021-07-27,商品房,2016-03-03,普通住宅,满五年,共有,无抵押,已上传房本照片,,117.271054,31.822806,合肥
和昌都汇华府,包河,周谷堆,103116103436,218,23384元/平米,房屋户型3室2厅1厨1卫,所在楼层高楼层 (共30层),建筑面积93.23㎡,户型结构平层,套内面积73.61㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-07-14,商品房,2014-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31597861501,31.82962039135,合肥
和地蓝湾,包河,周谷堆,103112027304,275,22214元/平米,房屋户型4室2厅1厨2卫,所在楼层高楼层 (共18层),建筑面积123.8㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构砖混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2020-11-02,商品房,2021-08-22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.31133783429,31.829086319401,合肥
金安花园,包河,芜湖路,103116362785,135,14238元/平米,房屋户型3室1厅1厨1卫,所在楼层中楼层 (共7层),建筑面积94.82㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南,建筑结构混合结构,装修情况简装,梯户比例一梯三户,供暖方式暂无数据,2021-07-30,商品房,2021-07-30,普通住宅,未满两年,非共有,有抵押 100万元 协商可以自还,已上传房本照片,,117.28085433182,31.843286880673,合肥
金地国际城,包河,周谷堆,103116033703,200,15923元/平米,房屋户型3室2厅1厨1卫,所在楼层高楼层 (共33层),建筑面积125.61㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况毛坯,梯户比例两梯四户,供暖方式暂无数据,2021-07-10,商品房,2009-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30942620912,31.843043637141,合肥
九珑湾,包河,工业园,103116442390,279,21592元/平米,房屋户型3室1厅1厨2卫,所在楼层中楼层 (共31层),建筑面积129.22㎡,户型结构平层,套内面积100.69㎡,建筑类型板塔结合,房屋朝向西南,建筑结构钢混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-08-04,商品房,2012-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.32184779469,31.798111832813,合肥
世纪阳光花园金阳苑,包河,包公,103116168078,178,20258元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共6层),建筑面积87.87㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构框架结构,装修情况简装,梯户比例一梯三户,供暖方式暂无数据,2021-07-18,商品房,2014-07-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30278298069,31.841762834876,合肥
万振城市广场,包河,周谷堆,103114537650,57,10170元/平米,房屋户型1室0厅1厨1卫,所在楼层中楼层 (共30层),建筑面积56.05㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向东,建筑结构钢混结构,装修情况简装,梯户比例四梯十三户,供暖方式暂无数据,2021-04-17,商品房,2016-05-11,普通住宅,满五年,非共有,有抵押 20万元 客户偿还,已上传房本照片,,117.30984163325,31.827456645563,合肥
铂金汉宫,包河,包公,103110312460,156,19957元/平米,房屋户型2室2厅1厨1卫,所在楼层低楼层 (共28层),建筑面积78.17㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例四梯八户,供暖方式暂无数据,2020-07-18,商品房,2011-01-22,普通住宅,满五年,非共有,有抵押 15万元,已上传房本照片,,117.30737200295,31.830799656404,合肥
合肥水泥研究设计院,包河,芜湖路,103115842050,136,15727元/平米,房屋户型2室2厅1厨1卫,所在楼层中楼层 (共4层),建筑面积86.48㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例一梯两户,供暖方式暂无数据,2021-06-30,商品房,2021-06-25,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.28896304066,31.836315446743,合肥
南园新村,包河,芜湖路,103115974807,105,14197元/平米,房屋户型2室2厅1厨1卫,所在楼层低楼层 (共6层),建筑面积73.96㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例一梯两户,供暖方式暂无数据,2021-07-07,商品房,2021-04-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.28275517656,31.840941560886,合肥
珠光雅苑,包河,包公,103114597313,104,15866元/平米,房屋户型2室1厅1厨1卫,所在楼层低楼层 (共18层),建筑面积65.55㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-04-20,回迁房,2013-10-21,普通住宅,满五年,非共有,有抵押 22万元 客户偿还,已上传房本照片,,117.30198727284,31.833204263649,合肥
九珑湾,包河,工业园,103114147975,205,22885元/平米,房屋户型2室2厅1厨1卫,所在楼层低楼层 (共31层),建筑面积89.58㎡,户型结构平层,套内面积69.8㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-03-28,商品房,2012-10-10,普通住宅,满五年,非共有,有抵押 15万元 客户偿还,已上传房本照片,,117.32184779469,31.798111832813,合肥
联邦花园,包河,周谷堆,103116285927,180,18321元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共11层),建筑面积98.25㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯三户,供暖方式暂无数据,2021-07-25,商品房,2017-07-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,,117.30981103709,31.846186996384,合肥
金地国际城,包河,周谷堆,103116776055,36.5,9916元/平米,房屋户型1室1厅1厨1卫,所在楼层高楼层 (共27层),建筑面积36.81㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例四梯二十九户,供暖方式暂无数据,2021-08-22,商品房,2020-08-25,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.30942620912,31.843043637141,合肥
力高柏林春天,包河,包公,103116294041,156,16804元/平米,房屋户型2室2厅1厨1卫,所在楼层高楼层 (共30层),建筑面积92.84㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-07-26,商品房,2016-09-12,普通住宅,满两年,非共有,有抵押 80万元 民生银行 客户偿还,已上传房本照片,,117.30627266904,31.832280103264,合肥
贡院,包河,工业园,103115871334,195,21776元/平米,房屋户型3室2厅1厨1卫,所在楼层低楼层 (共30层),建筑面积89.55㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯四户,供暖方式暂无数据,2021-07-01,商品房,2020-12-25,普通住宅,未满两年,非共有,有抵押 50万元,已上传房本照片,,117.33483928591,31.798876510354,合肥
广福花园A区,包河,常青,103115966922,175,16637元/平米,房屋户型3室2厅1厨1卫,所在楼层中楼层 (共15层),建筑面积105.19㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构砖混结构,装修情况精装,梯户比例一梯四户,供暖方式暂无数据,2021-07-06,商品房,2020-12-23,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.26567829855,31.81078679476,合肥
联邦花园,包河,周谷堆,103112903190,160,16285元/平米,房屋户型2室1厅1厨1卫,所在楼层低楼层 (共11层),建筑面积98.25㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯三户,供暖方式暂无数据,2021-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,117.30981103709,31.846186996384,合肥
华盛格林雅地,包河,工业园,103114038733,67.3,13107元/平米,房屋户型1室1厅1厨1卫,所在楼层高楼层 (共19层),建筑面积51.35㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例四梯二十四户,供暖方式暂无数据,2021-03-23,商品房,2010-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.32480624972,31.798178597385,合肥
