站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称,行政区名称,bd经度,bd纬度
树木岭,BV10784668,ShuMuLing,113.020083,28.15598,4号线,长沙,雨花区,113.027896,28.162591
圭塘,BV10784672,GuiTang,113.031077,28.157508,4号线,长沙,雨花区,113.036462,28.162998
沙湾公园,BV10230090,ShaWan GongYuan,113.044896,28.157673,4号线,长沙,雨花区,113.050942,28.163967
粟塘,BV10784647,SuTang,113.052403,28.157647,4号线,长沙,雨花区,113.05855,28.164067
平阳,BV10784643,PingYang,113.057081,28.152172,4号线,长沙,雨花区,113.060078,28.160318
长沙火车南站,BV10230231,ChangSha HuoChe NanZhan,113.065216,28.146879,4号线,长沙,雨花区,113.071502,28.152954
光达,BV10494974,GuangDa,113.085035,28.148484,4号线,长沙,长沙县,113.091631,28.154022
杜家坪,BV10858821,DuJiaPing,113.093776,28.141504,4号线,长沙,长沙县,113.100289,28.147226
水渡河,BV10784649,ShuiDuHe,113.063964,28.279842,5号线,长沙,长沙县,113.070503,28.28596
土桥,BV10784658,TuQiao,113.05604,28.263805,5号线,长沙,长沙县,113.062315,28.269821
白茅铺,BV10784644,BaiMaoPu,113.048751,28.25031,5号线,长沙,开福区,113.054799,28.256493
月湖公园北,BV10783876,YueHu GongYuan Bei,113.041096,28.242686,5号线,长沙,开福区,113.047285,28.248461
马栏山,BV10784667,MaLan Shan,113.040804,28.231662,5号线,长沙,开福区,113.047433,28.237963
鸭子铺,BV10784664,YaZiPu,113.036078,28.225036,5号线,长沙,开福区,113.042474,28.231147
火炬村,BV10784669,HuoJuCun,113.031218,28.208453,5号线,长沙,芙蓉区,113.037957,28.214644
马王堆,BV10784645,MaWangDui,113.030885,28.200047,5号线,长沙,芙蓉区,113.037531,28.206115
万家丽广场,BV10230974,WanJiaLi GuangChang,113.030191,28.191546,5号线,长沙,芙蓉区,113.03643,28.19633
芙蓉区政府,BV10922516,FuRongQu ZhengFu,113.03038,28.185314,5号线,长沙,芙蓉区,113.036821,28.191634
高桥北,BV10784662,GaoQiao Bei,113.030082,28.176188,5号线,长沙,雨花区,113.036807,28.182688
高桥南,BV10784659,GaoQiao Nan,113.029654,28.167044,5号线,长沙,雨花区,113.036235,28.173256
圭塘,BV10784672,GuiTang,113.031077,28.157508,5号线,长沙,雨花区,113.036462,28.162998
木桥,BV10784661,MuQiao,113.030891,28.148709,5号线,长沙,雨花区,113.037383,28.155098
雨花区政府,BV10784650,YuHuaQu ZhengFu,113.035087,28.137564,5号线,长沙,雨花区,113.041638,28.143853
大塘,BV10784640,DaTang,113.036453,28.130984,5号线,长沙,雨花区,113.042594,28.136663
板塘冲,BV10784648,BanTangChong,113.03951,28.116274,5号线,长沙,雨花区,113.046095,28.121811
毛竹塘,BV10784651,MaoZhuTang,113.036598,28.095029,5号线,长沙,雨花区,113.043057,28.101157
磁浮机场站,BV10689109,CiFu JiChang Zhan,113.219079,28.191653,磁浮快线,长沙,长沙县,113.225247,28.197299
磁浮榔梨,BV10689108,Ci FuLangLi,113.133357,28.160767,磁浮快线,长沙,长沙县,113.139808,28.166949
磁浮高铁站,BV10689110,CiFu GaoTie Zhan,113.067434,28.14882,磁浮快线,长沙,雨花区,113.073883,28.154067
霞浦,BV10644845,XiaPu,121.85675,29.890445,1号线,宁波,北仑区,121.86423,29.895931
长江路,BV10644844,ChangJiang Lu,121.843773,29.890703,1号线,宁波,北仑区,121.850232,29.896638
中河路,BV10644849,ZhongHe Lu,121.829607,29.893725,1号线,宁波,北仑区,121.835818,29.899878
松花江路,BV10644848,SongHuaJiang Lu,121.808583,29.904204,1号线,宁波,北仑区,121.815202,29.910751
大碶,BV10644850,DaQi,121.794673,29.893302,1号线,宁波,北仑区,121.801153,29.899863
邬隘,BV10644847,WuAi,121.782269,29.874725,1号线,宁波,北仑区,121.788538,29.880814
宝幢,BV10644843,BaoZhuang,121.733579,29.839346,1号线,宁波,鄞州区,121.740257,29.845236
五乡,BV10644846,WuXiang,121.690153,29.838494,1号线,宁波,鄞州区,121.696475,29.844824
